Story,Column,UniqueName,Combo,Station,P,V2,V3,T,M2,M3
Story1,C2,3,ULS-1,0,-2247190.81,55287.21,27606.19,5743638.7,43486184.81,239656868
Story1,C2,3,ULS-1,1200,-2238370.81,55287.21,27606.19,5743638.7,10358759.51,173312213.9
Story1,C2,3,ULS-1,2400,-2229550.81,55287.21,27606.19,5743638.7,-22768665.79,106967559.7
Story1,C2,3,ULS-2,0,-2247190.81,55287.21,27606.19,5743638.7,43486184.81,239656868
Story1,C2,3,ULS-2,1200,-2238370.81,55287.21,27606.19,5743638.7,10358759.51,173312213.9
Story1,C2,3,ULS-2,2400,-2229550.81,55287.21,27606.19,5743638.7,-22768665.79,106967559.7
Story1,C2,3,UDConS3-1,0,-1777279.28,15596.75,16238.93,3378611,25580108.71,129038291.8
Story1,C2,3,UDConS3-1,1200,-1769719.28,15596.75,16238.93,3378611,6093387.95,110322186.2
Story1,C2,3,UDConS3-1,2400,-1762159.28,15596.75,16238.93,3378611,-13393332.82,91606080.6
Story1,C2,3,UDConS4-1,0,-1777279.28,15596.75,16238.93,3378611,25580108.71,129038291.8
Story1,C2,3,UDConS4-1,1200,-1769719.28,15596.75,16238.93,3378611,6093387.95,110322186.2
Story1,C2,3,UDConS4-1,2400,-1762159.28,15596.75,16238.93,3378611,-13393332.82,91606080.6
Story1,C2,3,UDConS5-1,0,-1088696.2,-40461.65,0,0,0,-28535304.41
Story1,C2,3,UDConS5-1,1200,-1083026.2,-40461.65,0,0,0,20018675.6
Story1,C2,3,UDConS5-1,2400,-1077356.2,-40461.65,0,0,0,68572655.6
Story1,C2,3,UDConS6-1,0,-1088696.2,-40461.65,0,0,0,-28535304.41
Story1,C2,3,UDConS6-1,1200,-1083026.2,-40461.65,0,0,0,20018675.6
Story1,C2,3,UDConS6-1,2400,-1077356.2,-40461.65,0,0,0,68572655.6
Story1,C8,15,ULS-1,0,-2317562.11,46043.8,-86451.71,-6296160.18,-120556736,99061123.38
Story1,C8,15,ULS-1,1200,-2308742.11,46043.8,-86451.71,-6296160.18,-16814689.55,43808559.44
Story1,C8,15,ULS-1,2400,-2299922.11,46043.8,-86451.71,-6296160.18,86927356.56,-11444004.5
Story1,C8,15,ULS-2,0,-2317562.11,46043.8,-86451.71,-6296160.18,-120556736,99061123.38
Story1,C8,15,ULS-2,1200,-2308742.11,46043.8,-86451.71,-6296160.18,-16814689.55,43808559.44
Story1,C8,15,ULS-2,2400,-2299922.11,46043.8,-86451.71,-6296160.18,86927356.56,-11444004.5
Story1,C8,15,UDConS3-1,0,-1813947.61,27084.59,-63076.29,-3703623.64,-83646371.69,58271249.05
Story1,C8,15,UDConS3-1,1200,-1806387.61,27084.59,-63076.29,-3703623.64,-7954826.43,25769740.85
Story1,C8,15,UDConS3-1,2400,-1798827.61,27084.59,-63076.29,-3703623.64,67736718.83,-6731767.35
Story1,C8,15,UDConS4-1,0,-1813947.61,27084.59,-63076.29,-3703623.64,-83646371.69,58271249.05
Story1,C8,15,UDConS4-1,1200,-1806387.61,27084.59,-63076.29,-3703623.64,-7954826.43,25769740.85
Story1,C8,15,UDConS4-1,2400,-1798827.61,27084.59,-63076.29,-3703623.64,67736718.83,-6731767.35
Story1,C8,15,UDConS5-1,0,-1077396.78,0,-29219.04,0,-30434197.78,0
Story1,C8,15,UDConS5-1,1200,-1071726.78,0,-29219.04,0,4628650.25,0
Story1,C8,15,UDConS5-1,2400,-1066056.78,0,-29219.04,0,39691498.28,0
Story1,C8,15,UDConS6-1,0,-1077396.78,0,-29219.04,0,-30434197.78,0
Story1,C8,15,UDConS6-1,1200,-1071726.78,0,-29219.04,0,4628650.25,0
Story1,C8,15,UDConS6-1,2400,-1066056.78,0,-29219.04,0,39691498.28,0
