Model has been checked, 111 warning messages
UPPER ROOF FLOOR PLAN, F16 & B79 are too close.[-8.5652]. Check at (-3798.906 -43703.315 16500)
UPPER ROOF FLOOR PLAN, F16 & B184 are too close.[3.4109]. Check at (-3798.906 -43703.315 16500)
UPPER ROOF FLOOR PLAN, F27 & B79 are too close.[1.6467]. Check at (-3798.15 -43694.93 16500)
UPPER ROOF FLOOR PLAN, F27 & B79 are too close.[-1.5446]. Check at (-3799.752 -43694.525 16500)
UPPER ROOF FLOOR PLAN, F27 & B184 are too close.[-1.6525]. Check at (-3799.752 -43694.525 16500)
UPPER ROOF FLOOR PLAN, 105 & 1176 are too close. Check at (-3798.15 -43694.93 16500)
UPPER ROOF FLOOR PLAN, 105 & 1251 are too close. Check at (-3798.15 -43694.93 16500)
UPPER ROOF FLOOR PLAN, 1176 & 1251 are too close. Check at (-3798.906 -43703.315 16500)
UPPER ROOF FLOOR PLAN, 1178 & 1253 are too close. Check at (-10828.63 -41219.374 16500)
UPPER ROOF FLOOR PLAN, 105 & F16 are too close. Check at (-3798.15 -43694.93 16500)
UPPER ROOF FLOOR PLAN, 105 & F27 are too close. Check at (-3798.15 -43694.93 16500)
UPPER ROOF FLOOR PLAN, 1177 & F27 are too close. Check at (-11005.089 -41875.89 16500)
UPPER ROOF FLOOR PLAN, 1178 & F27 are too close. Check at (-10828.63 -41219.374 16500)
UPPER ROOF FLOOR PLAN, 1251 & F16 are too close. Check at (-3799.752 -43694.525 16500)
UPPER ROOF FLOOR PLAN, 1252 & F16 are too close. Check at (-11011.553 -41865.676 16500)
FIRST FRAMING FLOOR PLAN, B147 & B514 are overlapping each other. Overlap =5913.8366 Check at (-35219.728 -53487.073 6900)
FIRST FRAMING FLOOR PLAN, B137 & B138 are too close. [4.1943] Check at (51556.406 -48667.732 6900)
FIRST FRAMING FLOOR PLAN, F21 & B105 are too close.[-7.8231]. Check at (-21441.236 -41787.754 6900)
FIRST FRAMING FLOOR PLAN, F22 & B494 are too close.[-5.7127]. Check at (34863.759 -49456.155 6900)
FIRST FRAMING FLOOR PLAN, F22 & B494 are too close.[5.7133]. Check at (36253.689 -48432.189 6900)
FIRST FRAMING FLOOR PLAN, F22 & B494 are parallel and too close.[6.1668]. Check at (36253.689 -48432.189 6900)
FIRST FRAMING FLOOR PLAN, F52 & B79 are too close.[1.6467]. Check at (-3798.15 -43694.93 6900)
FIRST FRAMING FLOOR PLAN, F52 & B115 are too close.[6.0102]. Check at (-3798.15 -43694.93 6900)
FIRST FRAMING FLOOR PLAN, F52 & B115 are too close.[-1.6518]. Check at (-3799.752 -43694.525 6900)
FIRST FRAMING FLOOR PLAN, F52 & B184 are too close.[-1.6568]. Check at (-3799.752 -43694.525 6900)
FIRST FRAMING FLOOR PLAN, 105 & 1251 are too close. Check at (-3798.15 -43694.93 6900)
FIRST FRAMING FLOOR PLAN, 395 & 1228 are too close. Check at (-21441.236 -41787.754 6900)
FIRST FRAMING FLOOR PLAN, 422 & 424 are too close. Check at (51556.406 -48667.732 6900)
FIRST FRAMING FLOOR PLAN, 640 & 657 are too close. Check at (-13676.915 -50660.63 6900)
FIRST FRAMING FLOOR PLAN, 642 & 655 are too close. Check at (-13158.819 -48733.059 6900)
FIRST FRAMING FLOOR PLAN, 644 & 653 are too close. Check at (-12637.028 -46791.739 6900)
FIRST FRAMING FLOOR PLAN, 646 & 651 are too close. Check at (-12119.499 -44866.279 6900)
FIRST FRAMING FLOOR PLAN, 648 & 649 are too close. Check at (-11730.145 -43417.691 6900)
FIRST FRAMING FLOOR PLAN, 994 & 1401 are too close. Check at (35800.567 -33657.997 6900)
FIRST FRAMING FLOOR PLAN, 997 & 1404 are too close. Check at (33659.498 -35802.042 6900)
FIRST FRAMING FLOOR PLAN, 998 & 1403 are too close. Check at (32043.163 -34068.732 6900)
FIRST FRAMING FLOOR PLAN, 1000 & 1029 are too close. Check at (20045.951 -36576.274 6900)
FIRST FRAMING FLOOR PLAN, 422 & B138 are too close. Check at (51556.406 -48667.732 6900)
FIRST FRAMING FLOOR PLAN, 649 & B415 are too close. Check at (-11728.097 -43410.071 6900)
FIRST FRAMING FLOOR PLAN, 651 & B414 are too close. Check at (-12118.312 -44861.863 6900)
